,date,ticker,name,reason,action
153,2016-05-31,CCE,Coca-Cola Enterprises,CCE merging with European bottlers[111].,removed
152,2016-06-03,BXLT,Baxalta,SHPG acquiring BXLT[110].,removed
152,2016-06-03,TDG,TransDigm Group,SHPG acquiring BXLT[110].,added
151,2016-06-22,FBHS,Fortune Brands Home & Security,CVC acquired by Altice NV[109].,added
151,2016-06-22,CVC,Cablevision Systems,CVC acquired by Altice NV[109].,removed
150,2016-07-01,ALB,Albemarle Corporation,TE acquired by EMA[107].,added
149,2016-07-01,LNT,Alliant Energy Corp,GAS acquired by SO[108].,added
149,2016-07-01,GAS,AGL Resources,GAS acquired by SO[108].,removed
150,2016-07-01,TE,TECO Energy,TE acquired by EMA[107].,removed
148,2016-07-05,FTV,Fortive Corp,CPGX acquired by TRP[107].,added
148,2016-07-05,CPGX,Columbia Pipeline Group,CPGX acquired by TRP[107].,removed
147,2016-09-06,MTD,Mettler Toledo,TYC acquires JCI (and retains JCI ticker).,added
147,2016-09-06,TYC,Tyco International,TYC acquires JCI (and retains JCI ticker).,removed
146,2016-09-08,EMC,EMC Corporation,Dell acquires EMC[105].,removed
146,2016-09-08,CHTR,Charter Communications,Dell acquires EMC[105].,added
145,2016-09-22,HOT,Starwood,MAR acquires HOT[104].,removed
145,2016-09-22,COO,The Cooper Companies,MAR acquires HOT[104].,added
144,2016-09-30,DO,Diamond Offshore Drilling,COTY replaces DO[103].,removed
144,2016-09-30,COTY,Coty Inc,COTY replaces DO[103].,added
143,2016-11-01,ARNC,Arconic Inc,AA spins off ARNC[102].,added
143,2016-11-01,AA,Alcoa Inc,AA spins off ARNC[102].,removed
142,2016-12-02,LM,Legg Mason,Market capitalization change.,removed
141,2016-12-02,OI,Owens-Illinois,Market capitalization change.,removed
142,2016-12-02,EVHC,Envision Healthcare,Market capitalization change.,added
141,2016-12-02,MAA,Mid-America Apartments,Market capitalization change.,added
140,2017-01-05,STJ,St Jude Medical,S&P 100 & 500 constituent Abbott Laboratories (NYSE:ABT) acquired St. Jude Medical.,removed
140,2017-01-05,IDXX,Idexx Laboratories,S&P 100 & 500 constituent Abbott Laboratories (NYSE:ABT) acquired St. Jude Medical.,added
139,2017-02-28,INCY,Incyte,SE acquired by ENB[99].,added
139,2017-02-28,SE,Spectra Energy,SE acquired by ENB[99].,removed
